,#-of-ghosts-1-step-away,bias,closest-capsule,closest-food,closest-scared-ghost,eats-food,ghosts-in-next-pos,trapped
0,0.0,23.211191954142592,11.031726311926414,-0.019766966446666267,-0.2470288678965131,24.655446535146233,,
1,0.0,44.0047258983977,17.44895108878617,-0.06663783623359532,-0.7848699422128481,47.15317508919678,,
2,0.0,62.09889874074619,21.00156850221821,-0.1418479485197807,-1.9314395535448197,67.95226339019653,,
3,0.0,79.4187205639789,25.969139412136105,-0.1844937610209472,-3.0549491886617064,87.01588026969876,,
4,0.0,94.30841260965158,28.219026024308004,-0.25426285607082166,-3.2135324155436087,103.71111770305924,,
5,-10.21508307572654,87.32781115434204,30.983506260256945,-0.35058289897618,-4.347992977250611,108.83681878249723,-10.21508307572654,
6,-10.21508307572654,102.83301962614219,32.94811034036449,-0.3809975325407889,-2.565552628454255,122.61906359822795,-10.21508307572654,
7,-10.21508307572654,115.77109971394506,34.848398974638556,-0.4163220080859055,-3.1410021746474572,136.61317771894673,-10.21508307572654,
8,-10.21508307572654,125.73382867824272,36.78404712960754,-0.5513882782170647,-5.027504507532979,149.82852334275304,-10.21508307572654,9.454851613373496
9,-10.21508307572654,136.35170487558761,37.684836745483715,-0.6441889264366631,-6.097609200178341,161.87189778652782,-10.21508307572654,9.454851613373496
10,-10.21508307572654,144.20713447024713,37.778159471234304,-0.7765050619923334,-8.078743718500942,173.0590283389699,-10.21508307572654,9.454851613373496
11,-10.21508307572654,153.1971236637093,38.07264453140593,-0.8795331165191764,-9.055846400541146,182.64015640772428,-10.21508307572654,9.179554713782407
12,-10.21508307572654,160.39005300191513,37.35644469978914,-0.9598149317587665,-10.176126133496334,191.8909253851269,-10.21508307572654,9.207220224019522
13,-10.21508307572654,168.23412325200616,37.70832872168565,-1.0385855719253378,-11.307258542917962,200.7264054454552,-10.21508307572654,9.207220224019522
14,-10.21508307572654,175.2072337594094,36.66461506830183,-1.1174492669056755,-12.099720700351577,209.4717493658596,-10.21508307572654,9.207220224019522
15,-10.230496893800032,180.42581406264225,34.806340469117075,-1.2318777146222548,-13.448394261002367,217.51021697725474,-10.21508307572654,9.207220224019522
16,-10.230496893800032,186.69566947123457,34.31068156147977,-1.2976341791268304,-15.102325030689945,224.72769339701856,-10.21508307572654,9.207220224019522
17,-10.230496893800032,188.4981421109076,32.08013320536847,-1.4855999626406096,-17.58240860093684,231.58542464161803,-10.21508307572654,9.207220224019522
18,-10.230496893800032,194.2925984545403,30.615555959241114,-1.5378591206504515,-17.928945961301874,237.46365667141882,-10.21508307572654,9.004567537110738
19,-10.230496893800032,196.85634119231628,29.32874245693909,-1.6704144473533595,-18.782601083864,242.92631140507888,-10.21508307572654,9.004567537110738
20,-10.230496893800032,201.3226443981267,27.44747087942567,-1.7493281631845743,-20.832982301742287,249.5359844493626,-10.21508307572654,9.004567537110738
21,-20.602581097007324,186.1316521736167,25.02868173839852,-1.8983617146802685,-21.05441155981215,245.93640130654092,-20.587167278933833,9.004567537110738
22,-20.602581097007324,190.1457049041588,24.170507073095457,-1.9697804480090488,-23.31981736152408,251.08112626591426,-20.587167278933833,9.004567537110738
23,-20.602581097007324,192.43089062924088,21.94737328007487,-2.119117753249636,-25.41913076851556,256.7329404954418,-20.587167278933833,9.004567537110738
24,-20.602581097007324,196.17077420678223,19.97832524991006,-2.1758630005828263,-25.847233090923837,261.7274363572884,-20.587167278933833,9.004567537110738
25,-20.602581097007324,199.55626542195952,18.899693327665084,-2.276936421447744,-28.428961511283887,267.20852497740185,-20.587167278933833,9.004567537110738
26,-20.602581097007324,201.2595403506736,16.170759171716973,-2.4246276126469066,-30.889724148108883,271.4903038160889,-20.587167278933833,9.004567537110738
27,-20.602581097007324,205.01426624008232,14.83378304328124,-2.4945918490641223,-32.44531682298998,275.18341155871474,-20.587167278933833,8.807721426193812
28,-20.602581097007324,207.22811173362564,12.334911542396268,-2.6376328719971944,-33.23297776390912,280.5582041679374,-20.587167278933833,8.782364285620305
29,-20.602581097007324,209.6969719520987,10.478531026674403,-2.78567531560689,-34.90897470594453,283.8666551141483,-20.587167278933833,8.782364285620305
30,-20.602581097007324,210.93439911642596,7.557948642759921,-2.9570959297384545,-36.59191716132377,287.4613723610571,-20.587167278933833,8.083232588146002
31,-20.602581097007324,212.58399419841976,5.7083304789089615,-3.03037284834511,-36.83750447280208,289.78487868898424,-20.587167278933833,7.893849987994507
32,-20.602581097007324,213.6492125827106,3.561866405506755,-3.1654546165119437,-39.32331673160731,291.8485094946883,-20.587167278933833,7.893849987994507
33,-20.602581097007324,218.38702610439535,8.281157593798637,-3.1915202631046196,-39.32331673160731,295.52802156309883,-20.587167278933833,7.893849987994507
34,-20.602581097007324,220.06056839191746,5.516786392970121,-3.324744444396,-41.4525705056209,298.782221859756,-20.587167278933833,7.893849987994507
35,-20.602581097007324,225.07589026660602,9.680544707106824,-3.3345449058829444,-41.4525705056209,302.3124121688857,-20.587167278933833,7.893849987994507
36,-20.602581097007324,225.43843676257882,6.5198260197960725,-3.388736109280679,-42.25452938796045,304.23870945222194,-20.587167278933833,7.893849987994507
37,-20.602581097007324,228.96231317295076,9.269346266843627,-3.403260762268338,-42.25452938796045,306.39735048497374,-20.587167278933833,7.893849987994507
38,-20.602581097007324,228.83193380082727,5.159069844945922,-3.4994206587946226,-44.0397777460838,308.41554420338264,-20.587167278933833,7.893849987994507
39,-20.602581097007324,232.90513787249427,8.462615246795279,-3.5151473097335435,-44.0397777460838,309.75278531100264,-20.587167278933833,7.847740640688714
40,-20.602581097007324,232.93545272627173,4.4224858379468985,-3.7923497320575055,-45.53931915138538,311.8423197864601,-20.587167278933833,7.847740640688714
41,-30.996659026969567,217.8685855473116,0.12040329299065458,-3.9117803275259106,-45.53931915138538,305.79730443009,-30.981245208896077,7.720848965298323
42,-30.996659026969567,223.39444494822806,5.766283651208172,-3.9189689157798346,-45.53931915138538,307.3353938261198,-30.981245208896077,7.720848965298323
